"","species","centroid.distance","I.obs","I.res.s","I.res.w","p.similar","migStatus"
"1","Abeillia abeillei",NA,NA,NA,NA,NA,"1"
"2","Adelomyia melanogenys",161099.850637194,0.625643915135166,0.671140557958449,0.590884285275335,0.0396039603960396,"1"
"3","Aglaeactis aliciae",NA,NA,NA,NA,NA,"1"
"4","Aglaeactis castelnaudii",100236.023804225,0.519126935706596,0.52500781428317,0.540551143002519,0.237623762376238,"1"
"5","Aglaeactis cupripennis",86141.4502498297,0.588024611140892,0.585889846623882,0.519115639203772,0.356435643564356,"1"
"6","Aglaeactis pamela",NA,NA,NA,NA,NA,"1"
"7","Aglaiocercus berlepschi",NA,NA,NA,NA,NA,"1"
"8","Aglaiocercus coelestis",7848.17920361447,0.758204022624402,0.771682839921954,0.754269582599728,0.0198019801980198,"1"
"9","Aglaiocercus kingii",191152.088778367,0.503641063017692,0.538895364494904,0.517838859320284,0.158415841584158,"1"
"10","Amazilia amabilis",71044.9282034433,0.658900643450615,0.646063055741271,0.732278284363606,0.0198019801980198,"1"
"11","Amazilia amazilia",146609.764244278,0.695069120080793,0.747914138606061,0.728606208578954,0.0594059405940594,"1"
"12","Amazilia bartletti",NA,NA,NA,NA,NA,"1"
"13","Amazilia beryllina",340103.812874674,0.497033677594943,0.48516176061311,0.451538111087862,0.396039603960396,"1"
"14","Amazilia boucardi",7752.5274125621,0.522489863020638,0.638980215253823,0.620128403810921,0.0198019801980198,"1"
"15","Amazilia brevirostris",60863.3377084702,0.72341751336249,0.727113126900286,0.727018618936118,0.0198019801980198,"1"
"16","Amazilia candida",49816.8449829177,0.564659576591892,0.610370353811521,0.532770003625583,0.0198019801980198,"2"
"17","Amazilia castaneiventris",NA,NA,NA,NA,NA,"1"
"18","Amazilia chionogaster",291482.978533818,0.553440596100158,0.595307479824901,0.531336864393677,0.0198019801980198,"1"
"19","Amazilia cupreicauda",NA,NA,NA,NA,NA,"1"
"20","Amazilia cyanifrons",NA,NA,NA,NA,NA,"1"
