"species","centroid.distance","I.obs","I.res.s","I.res.w","p.similar","migStatus"
"Cyclarhis gujanensis",421403.507933572,0.625818744204078,0.634070799098252,0.623612756872892,0.0198019801980198,"1"
"Cyclarhis nigrirostris",18758.8389651549,0.664610920807018,0.672793978407768,0.568716763528838,0.0396039603960396,"1"
"Hylophilus aurantiifrons",21712.4222764275,0.665835031204419,0.702962461264519,0.62435175031515,0.0198019801980198,"1"
"Hylophilus decurtatus",19163.9423758468,0.663618443886304,0.669209469032466,0.678195652234736,0.0198019801980198,"1"
"Hylophilus flavipes",190669.193746295,0.628624102906067,0.591790944701081,0.591179854025863,0.0198019801980198,"1"
"Hylophilus hypoxanthus",421235.928329204,0.44221695268757,0.436755019096994,0.65180652543132,0.336633663366337,"1"
"Hylophilus muscicapinus",692474.711328077,0.69156982085824,0.674630160453518,0.742833003742422,0.0198019801980198,"1"
"Hylophilus ochraceiceps",180652.137161558,0.690772452100394,0.676685907951589,0.688489947858902,0.0198019801980198,"1"
"Hylophilus olivaceus",112499.691041188,0.437182177356488,0.519259031672136,0.441466302448983,0.0198019801980198,"1"
"Hylophilus pectoralis",1104363.05396346,0.581818073996328,0.580982309355309,0.569041042337647,0.0198019801980198,"1"
"Hylophilus poicilotis",235631.4880819,0.576587293982854,0.506788372655703,0.563988327881948,0.0396039603960396,"1"
"Hylophilus semibrunneus",57791.853396378,0.499589055862193,0.510637473546209,0.489777190496031,0.0198019801980198,"1"
"Hylophilus semicinereus",427316.347639945,0.43855043456648,0.502130284331976,0.662545430527142,0.118811881188119,"1"
"Hylophilus thoracicus",513759.330904998,0.671136585388498,0.650077142335899,0.729108623184973,0.0198019801980198,"1"
"Vireo altiloquus",851976.49041069,0.58583169114452,0.722460638455354,0.677293433542362,0.158415841584158,"2"
"Vireo atricapilla",1266191.8054316,0.43645805779772,0.371154033996726,0.485347441557863,0.0792079207920792,"3"
"Vireo bairdi",85069.7103079847,0.675388791762345,0.67148494674866,0.669063085998344,0.118811881188119,"1"
"Vireo bellii",1121787.88083408,0.603799789904704,0.491764555368798,0.621300520379356,0.0198019801980198,"2"
"Vireo brevipennis",86185.0938742448,0.428745225563253,0.451906413092284,0.434335505096761,0.0198019801980198,"1"
"Vireo carmioli",2017.20044994328,0.541928190675324,0.531240825556022,0.502026209444871,0.0792079207920792,"1"
"Vireo cassinii",2078237.67878155,0.597026941239383,0.599379154586011,0.546438424142891,0.0198019801980198,"2"
"Vireo crassirostris",90598.6544451343,0.488916614782574,0.519496217327891,0.56760054763487,0.138613861386139,"2"
"Vireo flavifrons",2594450.35200899,0.467792482178607,0.356825449609808,0.643700556676555,0.217821782178218,"3"
"Vireo flavoviridis",2024703.85275183,0.641408079537635,0.547172218423129,0.6690585841386,0.0198019801980198,"3"
"Vireo gilvus",1720401.64053854,0.540589055096864,0.535348616028333,0.472342336263217,0.0792079207920792,"2"
"Vireo griseus",966981.673146291,0.501651365840597,0.372590824830887,0.447878303779915,0.475247524752475,"2"
"Vireo huttoni",119682.281294795,0.651470584364151,0.60369003848444,0.647366939596008,0.0198019801980198,"1"
"Vireo hypochryseus",252857.634059588,0.496899839783506,0.506466515766331,0.469207427697001,0.0198019801980198,"1"
"Vireo latimeri",2520.63317980022,0.697044353651336,0.706059327184855,0.716652547269657,0.0198019801980198,"1"
"Vireo leucophrys",90571.9293566155,0.598751659243227,0.606822469985532,0.546674087967272,0.0198019801980198,"1"
"Vireo magister",61821.1133306205,0.6331585899052,0.695154034761505,0.651409018087051,0.0396039603960396,"1"
"Vireo modestus",88655.3782408776,0.649271592336901,0.717381924999138,0.740838811950065,0.0198019801980198,"1"
"Vireo nelsoni",235680.484447435,0.4974887605118,0.524790312985545,0.434259927015341,0.0198019801980198,"1"
"Vireo olivaceus",2916212.85838183,0.406014234248436,0.374402849492596,0.539513106992309,0.534653465346535,"2"
"Vireo pallens",77807.2679069936,0.556907878917859,0.5901510905268,0.579681870342132,0.0198019801980198,"1"
"Vireo philadelphicus",2486653.03722875,0.416657706147914,0.391959943054086,0.539070127756801,0.633663366336634,"3"
"Vireo plumbeus",721968.683034036,0.592279046324549,0.544015821751917,0.500338968244425,0.0198019801980198,"2"
"Vireo solitarius",1596037.2685385,0.568406853505716,0.353035709328339,0.42551087317129,0.099009900990099,"3"
"Vireo vicinior",554694.735771621,0.732787872751918,0.568311118612953,0.700029706452408,0.0198019801980198,"2"
"Vireolanius leucotis",390804.57020034,0.505102385285852,0.500622104381352,0.540816450873808,0.0198019801980198,"1"
"Vireolanius melitophrys",96626.3356022561,0.412580076378893,0.423393829811993,0.441202795234833,0.693069306930693,"1"
"Vireolanius pulchellus",225322.665008467,0.592842433754294,0.611823817356386,0.656269587831811,0.0198019801980198,"1"
